F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,L
0.0939,1.0089,0.0365,0.6944,0.0908,0.4961,0.0722,0.6521,-0.013,0.6085,0.0631,0.6597,2
0.4637,0.4033,0.7539,0.5969,0.7829,0.7668,0.6929,0.6707,0.9046,0.6521,0.7372,0.6145,1
0.6177,0.1427,0.9623,0.1017,1.103,0.078,1.6003,0.1562,1.8715,0.1531,0.0221,-0.026,3
0.2521,0.5208,0.4874,0.6131,0.7096,0.4927,1.693,0.0467,0.0225,1.9677,0.0141,-0.0179,3
0.0334,0.0906,0.1528,0.2821,0.2778,0.2702,0.0384,1.6895,0.0833,-0.1008,0.0779,-0.0942,3
0.6436,0.0233,1.019,-0.0477,0.9992,0.1174,1.6056,0.1474,2.0678,-0.0815,0.0589,-0.0699,3
0.261,0.754,0.6275,0.688,0.6739,0.7751,1.6386,0.1087,0.0513,1.9387,0.0494,-0.0585,3
0.0189,0.9513,0.1228,1.1771,0.3517,1.0456,0.0068,1.7248,-0.0421,2.044,0.0061,-0.0077,3
0.3376,0.5206,0.4022,0.9626,0.6526,0.8635,0.5593,0.7763,0.5713,0.9856,0.6018,0.7242,1
0.3748,0.2994,0.6536,0.3408,0.8457,0.2527,1.7398,-0.0092,-0.0641,2.0758,0.0358,-0.0442,3
0.5465,0.4334,0.913,0.6068,0.8931,0.8647,0.8490000000000001,0.6866,0.9978,0.7642,0.8058,0.7353,1
0.6043,0.4847,0.2698,0.7133,0.1207,0.665,0.1966,0.7995,0.3183,0.4146,0.3367,0.6292,2
0.1263,0.6105,0.2655,0.8748,0.2336,1.0768,0.1833,0.9726,0.3004,1.0165,0.1962,0.9532,1
0.1546,0.4171,0.2119,0.6868,0.2017,0.8355,0.312,0.5704,0.2865,0.7473,0.2101,0.6932,1
0.0084,0.5233,0.3114,0.5303,0.3548,0.6212,-0.0781,1.8246,-0.015,0.0163,0.019,-0.0219,3
0.0276,1.0868,-0.0425,0.5219,0.0325,0.3607,0.0246,0.4429,0.0869,0.2859,-0.0011,0.4726,2
0.561,0.1063,0.7032,0.3773,0.7404,0.4993,0.7263,0.3493,0.8452,0.3924,0.6268,0.4698,1
0.4093,0.4796,0.7052,0.4992,0.8137,0.5116,1.5592,0.2063,-0.0094,2.0129,-0.0438,0.0531,3
0.2951,0.7971,0.2091,0.7775,0.0855,0.6993,0.1987,0.7923,0.0594,0.7144,0.1031,0.9043,2
0.4159,0.3145,0.5517,0.6108,0.6129,0.7097,0.5831,0.5751,0.5852,0.7686,0.601,0.555,1
0.5928,0.5222,1.0036,0.4579,1.0781,0.507,1.6469999999999998,0.0986,2.1061,-0.1167,0.0371,1.6833,3
-0.0022,0.4328,0.0962,0.5566,0.1032,0.6397,0.0778,0.5799,0.1418,0.606,0.0154,0.6526,1
0.4576,0.6481,0.8842,0.6654,0.84,0.8585,1.7768,-0.05,-0.026,2.0274,-0.0377,1.7766,3
0.5665,0.4,0.804,0.4914,0.9725,0.4351,1.7701,-0.0509,-0.0653,2.0774,0.0814,-0.0973,3
0.3309,0.425,0.4928,0.6981,0.6051,0.7404,0.6155,0.5528,0.6382,0.7205,0.5233,0.6605,1
0.5571,0.5544,0.2239,0.9428,0.28800000000000003,0.5743,0.3653,0.7806,0.2938,0.5459,0.3241,0.8265,2
0.4961,0.189,0.7077,0.378,0.8067,0.4309,0.7211,0.3645,0.8028,0.4556,0.7352,0.3442,1
0.2453,0.4808,0.4855,0.6343,0.6267,0.6316,0.5035,0.61,0.6372,0.643,0.4382,0.6838,1
0.5597,0.2298,0.8849,0.3551,1.0343,0.3724,1.094,0.1069,1.1169,0.3034,0.8565,0.383,1
0.3009,0.2211,0.5387,0.3073,0.6518,0.3179,1.888,-0.1786,0.0125,-0.0131,0.0431,-0.0517,3
0.4897,0.6166,0.7778,0.7313,0.9998,0.6125,1.7028,0.038,0.1101,1.8715,0.0667,1.6543,3
-0.0189,0.9049,0.2733,0.924,0.4054,0.9117,-0.0163,1.7494,0.0086,1.9898,0.0165,-0.0197,3
0.1243,0.8552,0.2607,1.2543,0.2224,1.5176,0.206,1.3228,0.2795,1.476,0.3078,1.2011,1
1.1007,0.0058,0.5735,0.5508,0.4843,0.3643,0.5151,0.6179,0.4244,0.4098,0.6194,0.4928,2
0.57,0.1949,0.6662,0.5775,0.7901,0.6218,0.7056,0.5306,0.7961,0.6351,0.7592,0.47,1
0.0458,0.9044,0.3932,0.8614,0.5322,0.8431,1.6753,0.0623,0.035,1.9577,-0.0032,0.003,3
-0.0241,0.6119,0.2913,0.593,0.2959,0.7341,0.0699,1.6442,-0.0407,2.0504,0.095,-0.1145,3
0.3716,0.5727,0.5762,0.9028,0.7666,0.8992,0.6574,0.8045,0.8085,0.8724,0.6284,0.8446,1
0.2622,0.8393,0.1888,0.7998,0.2062,0.5559,0.233,0.7465,0.1065,0.6558,0.1107,0.8962,2
-0.0495,0.0597,0.0599,0.1809,0.0112,0.366,0.0134,-0.0129,0.0763,-0.092,0.0532,-0.0637,3
0.3249,0.2344,0.5291,0.344,0.539,0.4644,0.6531,0.1941,0.5935,0.4141,0.5112,0.3632,1
0.5272,0.1323,1.0471,-0.1195,1.0957,-0.0311,1.8179,-0.1026,1.9315,0.0775,0.0067,-0.0082,3
0.2457,0.8729,0.5142,1.2411,0.6712,1.2185,1.5932,0.165,-0.0707,2.0765,-0.0466,1.7826,3
0.7918,-0.0676,0.972,0.0902,1.0691,0.1199,1.7815,-0.0586,1.9628,0.0439,0.024,-0.0271,3
0.8826,0.221,0.3047,0.6431,0.3247,0.4102,0.4222,0.5054,0.3085,0.4134,0.3644,0.5701,2
0.6235,0.192,1.0909,0.1685,1.1794,0.2634,1.0075,0.2645,1.1611,0.3117,1.011,0.2615,1
0.1335,0.9647,0.0482,1.0511,0.1408,0.6785,0.0363,1.0681,0.0797,0.7308,0.1641,0.9179,2
1.125,-0.0264,1.1851,0.5672,0.93,0.2285,1.2188,0.5273,0.8381,0.2953,1.2885,0.4426,2
0.4663,-0.0046,0.7408,0.0417,0.9221,-0.0292,1.7352,-0.0016,0.07200000000000001,-0.086,0.0351,-0.0417,3
0.6990000000000001,0.3968,0.1746,0.6364,0.2241,0.4211,0.3194,0.4643,0.2155,0.4168,0.4041,0.363,2
0.0481,0.6301,0.3641,0.6274,0.4213,0.6975,0.0465,1.6775,-0.0297,2.0379,0.0015,-0.0022,3
0.8353,0.1856,1.1308,0.2115,1.1424,0.3409,1.6488,0.0969,1.9394,0.0725,-0.0396,0.0465,3
1.1589,-0.0646,0.4903,1.2574,0.5872,0.4286,0.5796,1.1499,0.5293,0.4681,0.5713,1.1585,2
0.4146,0.046,0.7304,0.0478,0.8895,-0.0009,1.7669,-0.0418,0.0194,-0.0256,0.0016,-0.0021,3
0.4381,0.3545,0.7058,0.5334,0.7713,0.6482,0.6476,0.6045,0.8761,0.5459,0.7537,0.4779,1
0.1946,0.8463,0.3935,0.9886,0.5201,0.9817,1.797,-0.0715,-0.0946,2.1109,0.0384,1.6838,3
0.8172,0.2907,0.3781,1.3564,0.3831,1.5758,0.5063,1.2031,0.3232,1.4816,0.5606,1.1399,2
0.3363,0.4877,0.6284,0.5175,0.6639,0.6105,1.6347,0.116,-0.0774,2.0898,0.0165,-0.0206,3
0.5013,0.0971,0.7749,0.1599,0.8716,0.1946,0.7986,0.1304,0.8874,0.1974,0.6991,0.2499,1
0.8182,0.28600000000000003,1.2287,0.2121,1.2751,0.298,1.7315,0.0025,2.0293,-0.0324,0.0287,1.6999,3
0.0441,0.5566,0.2636,0.6394,0.3755,0.636,0.2398,0.6638,0.2537,0.7974,0.2936,0.603,1
0.4455,0.6606,0.2377,0.6792,0.2448,0.4713,0.2568,0.6523,0.3088,0.3794,0.207,0.7139,2
0.2429,0.8192,0.5522,0.8254,0.6584,0.8397,1.7585,-0.0297,0.1117,1.8712,0.0201,1.7049,3
0.3339,0.7763,0.7458,0.7458,0.7757,0.8486,1.7335,0.0007,-0.0848,2.0999,-0.0278,1.7612,3
0.4276,0.5982,0.858,0.458,0.9666,0.4712,1.7024,0.0346,0.0095,1.9839,0.0345,-0.0405,3
0.0067,0.5981,-0.0665,1.0335,-0.0274,1.1121,0.0361,0.9109,0.0108,1.0856,-0.0643,1.0264,1
0.3168,0.1169,0.7908,-0.0726,0.8958,-0.0569,1.5964,0.1594,-0.0435,0.0503,-0.0499,0.0597,3
0.0232,0.4472,0.0288,0.7578,0.0164,0.893,-0.0284,1.7682,-0.0043,0.005,0.0163,-0.0192,3
0.0841,1.0328,0.4392,1.0484,0.6082,0.9935,1.7389,-0.0038,-0.021,2.0269,-0.1067,1.8588,3
0.4579,0.6553,0.2936,0.8654,0.292,0.568,0.2777,0.8882,0.236,0.6118,0.2499,0.9187,2
0.9213,0.183,1.2711,0.2182,1.436,0.1685,1.7391,-0.0065,2.1182,-0.1382,0.0251,1.7038,3
0.4558,0.6417,0.7385,0.706,0.9107,0.6386,1.6405,0.1095,-0.0143,2.0215,-0.0638,1.8067,3
0.4608,0.2314,0.8328,0.2275,0.8639,0.3633,0.8046,0.2602,0.8485,0.3997,0.7342,0.3473,1
0.1674,0.3897,0.4111,0.4741,0.6153,0.3688,1.6979,0.0314,-0.0552,2.0652,-0.0432,0.0502,3
0.3895,0.2033,0.5606,0.3758,0.7402,0.3101,0.5242,0.4181,0.7393,0.3271,0.5231,0.4183,1
0.9423,0.0849,1.5125,0.0952,1.4247,0.4486,1.3959,0.2259,1.5048,0.3934,1.3654,0.2641,1
0.0503,0.4674,0.0734,0.7643,0.2045,0.7558,-0.0046,1.7365,-0.0646,0.0755,-0.0148,0.0193,3
1.0217,0.0988,0.4318,0.4948,0.3271,0.4096,0.4788,0.4344,0.3361,0.3875,0.4107,0.5175,2
0.4172,0.4878,0.7567,0.457,0.8219,0.5137,1.6983,0.0428,-0.0236,2.0298,-0.0003,0.002,3
0.0976,0.1367,0.1787,0.1816,0.0987,0.3317,0.0708,0.3092,0.1655,0.2588,0.1027,0.272,1
1.1312,-0.0302,0.8929,0.0704,0.7703,-0.0256,0.8951,0.0658,0.657,0.0881,0.8834,0.0817,2
0.6954,0.267,1.0118,0.2593,1.1374,0.2561,1.7068,0.0334,2.0839,-0.0927,0.013,-0.0178,3
1.1331,-0.0364,0.4325,0.4307,0.378,0.3109,0.4364,0.4285,0.3326,0.3505,0.4787,0.3815,2
0.1581,0.3713,0.3274,0.4837,0.2731,0.674,0.4187,0.3731,0.3721,0.565,0.3401,0.4673,1
0.7734,0.3108,1.0783,0.6418,1.2671,0.6887,1.2128,0.4844,1.2609,0.7241,1.1978,0.5027,1
0.2741,0.5164,0.3749,0.8773,0.4355,0.9832,0.4299,0.8103,0.5146,0.9149,0.3877,0.8587,1
1.0094,0.1134,0.4213,0.8066,0.3547,0.5525,0.4474,0.7713,0.4188,0.451,0.5455,0.6543,2
0.2005,0.5829,0.6213,0.4544,0.6185,0.6031,1.6748,0.0637,0.0469,1.9445,0.0454,-0.0533,3
0.4052,0.3131,0.6783,0.4436,0.7699,0.5071,0.6499,0.4775,0.85,0.4314,0.7182,0.3959,1
0.5909,0.4002,0.8241,0.7434,1.1374,0.6116,0.9519,0.5897,1.0614,0.7307,0.8974,0.6602,1
0.1122,0.2212,0.2767,0.2258,0.4065,0.1461,0.2236,0.2891,0.2271,0.3709,0.2522,0.2523,1
0.561,0.2925,0.726,0.4631,0.9444,0.3525,1.7233,0.0074,0.0306,1.9585,0.0375,-0.0456,3
-0.0013,0.6041,0.4347,0.4496,0.4004,0.6332,0.0021,1.7278,-0.0834,2.0973,0.0158,-0.0176,3
0.1124,0.4549,0.1585,0.7363,0.0768,0.9628,0.1012,0.8069,0.0965,0.9527,0.1245,0.7763,1
1.1841,-0.091,0.5882,0.6829999999999999,0.4091,0.5274,0.6264,0.6381,0.4739,0.4277,0.5825,0.6909,2
0.4442,0.2989,0.637,0.5436,0.8215,0.5003,0.7841,0.3647,0.7794,0.573,0.6997,0.4653,1
0.3336,0.3599,0.5074,0.5793,0.6561,0.5657,0.6266,0.4343,0.6604,0.5796,0.6106,0.4549,1
0.4784,-0.003,0.7456,0.0023,0.7309,0.1364,0.6966,0.0593,0.76,0.1187,0.7205,0.0354,1
0.2478,0.6458,0.4043,0.8337,0.7193,0.6084,1.7618,-0.0294,0.0335,1.9597,-0.0327,0.0419,3
1.1087,0.0021,1.0156,0.7153,0.732,1.0862,0.9141,0.8361,0.8051,0.8140000000000001,0.9557,0.7831,2
0.3101,0.7882,0.2058,0.6524,0.1578,0.5337,0.1578,0.71,0.1407,0.539,0.1659,0.7029,2
1.0275,0.0929,0.777,0.9647,0.7027,0.6231,0.809,0.9281,0.7108,0.5548,0.9417,0.7737,2
0.2105,0.1522,0.5753,0.0936,0.6696,0.1234,1.763,-0.0366,0.0041,-0.004,-0.0186,0.0232,3
-0.0421,0.6206,-0.0089,0.908,0.0444,0.9645,0.0256,0.8678,0.0339,0.9927,0.1381,0.7345,1
0.6301,0.4748,0.4008,0.9958,0.2741,0.6979,0.332,1.0734,0.3438,0.5908,0.3196,1.0868,2
0.8463,0.1475,1.3833,0.1659,1.4094,0.3871,1.236,0.3424,1.4394,0.3775,1.2404,0.3315,1
0.105,0.6663,0.3348,0.7601,0.5875,0.611,1.7132,0.0261,0.1228,1.8555,-0.0232,0.0286,3
0.2755,0.051,0.5709,0.0764,0.6809,0.0863,1.5519999999999998,0.2105,0.1029,-0.1244,0.0473,-0.0574,3
0.7305,0.1189,1.0626,0.1013,1.1385,0.1486,1.7631,-0.0416,2.0731,-0.0872,-0.0439,0.053,3
0.6847,0.3897,0.9817,0.4101,1.0455,0.4734,1.7347,-0.0003,1.9866,0.0132,0.0555,1.6658,3
0.3198,0.7901,0.1934,0.7084,0.1126,0.6119,0.195,0.7055,0.1826,0.5124,0.2665,0.6217,2
0.6458,0.4649,0.2589,0.9217,0.3329,0.5323,0.2311,0.9548,0.1899,0.6802,0.3269,0.8420000000000001,2
1.1157,-0.0113,0.5825,0.6135,0.6044,0.2598,0.5369,0.6677,0.5063,0.3521,0.5327,0.6701,2
0.028,0.4749,0.3082,0.5165,0.4995,0.4292,-0.0668,1.8095,-0.0531,0.0634,0.0702,-0.0825,3
0.3613,0.7365,0.2189,0.5576,0.1782,0.4514,0.202,0.5775,0.1855,0.4275,0.2536,0.5144,2
1.0921,0.0191,0.6402,0.6883,0.4099,0.555,0.5433,0.8057,0.4109,0.5229,0.555,0.7881,2
0.5728,0.2989,0.8306,0.3644,0.9304,0.3902,1.696,0.041,-0.0843,2.101,-0.0713,0.0858,3
-0.0135,0.9692,0.0686,1.2016,0.2007,1.1847,-0.1011,1.8504,0.0255,1.9737,0.061,-0.0732,3
0.2704,0.7288,0.6289,0.6757,0.7274,0.7037,1.6942,0.0462,0.0575,1.93,-0.0115,0.012,3
-0.0158,0.4553,0.1158,0.6442,0.3486,0.5106,-0.1019,1.8546,0.0245,-0.0305,0.0626,-0.0746,3
1.0026,0.1198,0.6942,1.0487,0.5669,0.5787,0.7905,0.9402,0.6875,0.3929,0.7361,1.0008,2
1.1354,-0.0366,0.993,0.7328,0.7396,0.4829,1.0962,0.6153,0.775,0.4016,1.0572,0.6568,2
0.3568,0.4784,0.7597,0.3709,0.7185,0.5614,1.6897,0.0482,-0.055,2.0698,0.0111,-0.0107,3
0.3063,0.6264,0.7307,0.4934,0.8177,0.529,1.7757,-0.0486,-0.015,2.0136,-0.0509,0.0617,3
0.7813,0.2707,1.1661,0.1809,1.3402,0.1161,1.7843,-0.0644,2.0146,-0.01,0.0494,-0.0586,3
0.0981,0.579,0.0261,1.0553,0.1204,1.0948,0.1193,0.9473,0.1539,1.0715,0.1487,0.9104,1
0.5666,0.5338,0.2767,1.3015,0.2398,0.7728,0.2772,1.2983,0.239,0.7463,0.3174,1.2567,2
1.0614,0.0546,0.4624,0.4138,0.4538,0.2395,0.6261,0.2194,0.4383,0.2373,0.5559,0.298,2
0.325,0.279,0.736,0.1607,0.7521,0.2878,1.7845,-0.0633,-0.0724,2.0823,0.0347,-0.0415,3
0.5224,0.0097,0.7253,0.1418,0.8516,0.1318,1.6666,0.0734,0.0191,-0.0191,-0.0114,0.0127,3
1.1227,-0.0212,0.7345,0.1126,0.562,0.1254,0.7846,0.0558,0.5239,0.1548,0.7256,0.1218,2
0.5516,0.4323,0.9537,0.3289,1.0199,0.3933,1.7653,-0.0341,2.0264,-0.0298,0.0178,-0.0215,3
1.074,0.0407,0.4828,1.2594,0.3677,1.6073,0.4678,1.2689,0.5239,1.1956,0.4787,1.2616,2
0.6952,0.0979,1.1192,0.1273,1.2994,0.1131,1.2063,0.0228,1.3673,0.0592,1.0612,0.1961,1
0.4839,0.0457,0.184,0.1079,0.2019,0.0425,0.3259,-0.0609,0.2704,-0.0438,0.2482,0.0369,2
-0.0181,0.6916,0.2449,0.7359,0.4121,0.6803,-0.0635,1.8057,0.07400000000000001,1.9151,0.0249,-0.0286,3
0.3393,0.5055,0.603,0.708,0.7056,0.7814,0.6102,0.7022,0.7245,0.7864,0.5652,0.7547,1
0.3592,0.1203,0.5896,0.1628,0.7070000000000001,0.139,0.6235,0.1224,0.6721,0.1972,0.6086,0.1439,1
0.5201,0.5841,0.3171,0.7668,0.3882,0.4175,0.2912,0.8033,0.1717,0.6541,0.2294,0.8757,2
0.0889,0.1325,0.4074,0.1244,0.5965,0.0445,1.6266,0.1235,-0.0429,0.0531,0.0477,-0.057,3
0.3265,0.4894,0.6227,0.513,0.7186,0.5417,1.7655,-0.0393,-0.0484,2.0535,0.0098,-0.0119,3
0.3163,0.4248,0.6331,0.4197,0.7968,0.3696,1.6739,0.0685,0.0484,1.9461,0.0117,-0.0147,3
0.027000000000000003,0.0143,0.0319,0.3198,0.0313,0.4564,-0.0128,0.0159,-0.0661,0.0778,-0.0084,0.0081,3
0.5044,0.0154,0.8126,-0.0027,0.8906,0.0403,0.7963,0.0178,0.9854,-0.0549,0.7248,0.1,1
1.2146,-0.1319,0.5935,0.5697,0.5128,0.3593,0.5345,0.6402,0.4997,0.3476,0.5162,0.667,2
1.1437,-0.0472,0.5848,0.9845,0.6145,0.3859,0.6835,0.8577,0.5857,0.3928,0.6892,0.8599,2
0.3156,0.1832,0.3843,0.4186,0.515,0.3846,0.4053,0.3939,0.4708,0.4471,0.4462,0.342,1
0.446,-0.0196,0.7009,-0.0296,0.7206,0.0577,0.6415,0.0415,0.7693,0.0152,0.7258,-0.0595,1
0.3471,0.4969,0.5672,0.6026,0.6693,0.6248,1.6422,0.1036,0.0218,1.9766,-0.0069,0.0069,3
0.0514,0.6044,0.161,0.8481,0.1999,0.9469,0.1133,0.9042,0.1455,1.0259,0.1506,0.8629,1
1.1521,-0.0558,0.7192,1.0303,0.7694,0.4801,0.8318,0.8979,0.6653,0.5582,0.9178,0.7947,2
0.3989,0.3064,0.7602,0.3139,0.7549,0.4913,0.6895,0.3998,0.6527,0.6348,0.6298,0.473,1
-0.0197,0.7719,0.4634,0.57,0.5143,0.652,-0.0258,1.7626,-0.0173,2.0232,0.025,-0.0265,3
0.3393,0.1388,0.2235,0.0314,0.0732,0.1648,0.2143,0.0411,0.1466,0.0795,0.184,0.0761,2
-0.0176,0.754,0.2606,0.7783,0.3203,0.8502,0.038,1.6885,-0.0087,2.0108,0.0016,-0.0052,3
0.2202,0.1536,0.361,0.2209,0.5806,0.05,0.3611,0.2241,0.4184,0.255,0.4442,0.1251,1
0.046,0.899,0.1115,1.3636,0.1098,1.5706,0.1085,1.3714,0.2028,1.4865,0.0492,1.4349,1
0.2125,0.6559999999999999,0.4932,0.6953,0.6084,0.6982,1.7019,0.038,-0.051,2.06,-0.0043,0.0023,3
-0.0687,1.177,0.307,1.0942,0.3066,1.2395,0.0842,1.6366,-0.0021,1.9998,-0.0314,1.7687,3
1.1021,0.0039,1.0253,0.7218,0.8517,0.8106,1.1529,0.5722,0.92,0.6121,1.2242,0.4924,2
1.1101,-0.0069,0.5429999999999999,0.7135,0.3813,0.5501,0.4775,0.7901,0.4455,0.4477,0.5519,0.7022,2
-0.0336,0.7815,0.34600000000000003,0.6911,0.3249,0.8536,-0.0728,1.8253,0.0134,1.9869,0.0162,-0.0207,3
1.1007,0.0064,0.6214,1.1072,0.5279,0.5033,0.6244,1.1023,0.4872,0.5243,0.4857,1.2691,2
1.1679,-0.0767,1.1519,0.5657,0.8234,1.0579,1.0611,0.6778,0.6292,1.0533,1.0503,0.6942,2
1.1458,-0.0467,0.4056,0.5662,0.3123,0.458,0.3636,0.6134,0.3305,0.4132,0.4167,0.5514,2
0.0767,0.5532,0.3697,0.5783,0.5229,0.5426,1.7303,0.0025,-0.0057,2.0069,0.0478,-0.0569,3
0.4089,0.3129,0.5581,0.5068,0.8138,0.3462,1.6779,0.0684,0.0208,1.974,-0.0229,0.0271,3
0.3179,0.4891,0.7155,0.3883,0.777,0.4547,1.5663,0.1949,0.0583,1.9276,0.0348,-0.0436,3
-0.0582,0.815,0.3495,0.7002,0.4372,0.7411,-0.08800000000000001,1.8297,0.0684,1.9209,-0.0398,0.0489,3
0.0427,0.6164,0.1516,0.8657,0.0841,1.0956,0.1261,0.8992,0.1549,1.0291,0.0763,0.9625,1
0.6282,0.1157,0.8571,0.3314,1.0491,0.2918,0.8451,0.3437,1.1304,0.2179,0.9457,0.2238,1
0.5585,0.4104,0.9091,0.604,0.9648,0.764,0.8639,0.6559999999999999,0.9755,0.7808,0.9222,0.5776,1
0.6448,0.465,0.3659,0.8761,0.2214,0.7023,0.3702,0.875,0.2981,0.5870000000000001,0.313,0.9374,2
0.1157,0.3932,0.2233,0.5684,0.3136,0.574,0.2221,0.5673,0.1697,0.7595,0.1936,0.6002,1
0.7474,0.3670000000000001,0.4144,1.3083,0.3011,0.7628,0.4681,1.2478,0.2852,0.7465,0.2409,1.5162,2
0.8571,0.2373,0.3476,0.9596,0.2949,0.643,0.3605,0.9372,0.2396,0.6787,0.4688,0.8115,2
1.1005,0.0066,0.4421,0.856,0.3823,0.5487,0.4909,0.7966,0.3241,0.5907,0.5004,0.7838,2
0.4738,0.1604,0.6897,0.3143,0.7454,0.4065,0.716,0.2829,0.7983,0.3611,0.6483,0.3632,1
1.1427,-0.044,0.887,0.1008,0.7355,0.0294,0.966,0.0082,0.6765,0.078,1.0125,-0.0436,2
0.4448,0.6422,0.8192,0.5634,0.8853,0.6292,1.7546,-0.0246,0.0287,1.9639,-0.0171,1.7546,3
0.0278,0.0613,0.2001,0.2144,0.3815,0.1446,0.1435,1.5630000000000002,-0.0234,0.0293,-0.0134,0.0162,3
0.3111,0.3751,0.4651,0.6121,0.6362,0.5681,0.502,0.563,0.6579999999999999,0.5583,0.5059,0.5646,1
0.2871,0.4391,0.5545,0.5586,0.561,0.7182,0.6155,0.4853,0.6982,0.5763,0.5284,0.5929,1
0.3522,0.3868,0.5201,0.6377,0.5522,0.7776,0.5076,0.6553,0.6258,0.7105,0.4515,0.7196,1
0.3013,0.6641,0.5217,0.9826,0.5665,1.1542,0.632,0.8539,0.7991,0.907,0.5886,0.9031,1
0.1506,0.7948,0.1765,1.3156,0.2341,1.4619,0.2085,1.2752,0.2402,1.4745,0.1973,1.294,1
0.9463,0.0202,1.3809,0.1522,1.6763,0.0578,1.3851,0.1532,1.6485,0.1135,1.3393,0.2017,1
0.1486,0.6692,0.1849,1.1121,0.2417,1.2298,0.3131,0.9606,0.3608,1.1052,0.1707,1.1237,1
0.451,0.0643,0.6271,0.2025,0.7699,0.1555,0.7216,0.0854,0.8444,0.0856,0.8332,-0.0475,1
0.0731,0.4657,0.1022,0.7503,0.0551,0.9277,0.073,0.7852,0.118,0.8651,0.1219,0.726,1
0.5782,0.0063,0.9617,-0.0607,1.0348,0.0043,0.9053,0.0076,1.0513,0.0024,1.0077,-0.1158,1
0.5016,0.1766,0.7704,0.2323,0.9845,0.1148,1.77,-0.0456,-0.1452,2.1743,0.0212,-0.0257,3
0.2349,0.1442,0.2265,0.3929,0.2736,0.4296,0.2931,0.3112,0.2363,0.4802,0.2454,0.3726,1
